event,description,start,end,Nbr of races,country,country_flag
Trofeo Marratxi-Felanitx,,25/01/2025,25/01/2025,1,Spain,ES
Trofeo Palma Femina,,26/01/2025,26/01/2025,1,Spain,ES
Trofeo Binissalem-Andratx,,27/01/2025,27/01/2025,1,Spain,ES
Vuelta CV Feminas,,9/2/2025,9/2/2025,1,Spain,ES
Stage d'entraînement à Salou,,10/2/2025,16/02/2025,7,Spain,ES
"Omloop Nieuwsblad		",,1/3/2025,1/3/2025,1,Belgium,BE
Omloop van het Hageland,,2/3/2025,2/3/2025,1,Belgium,BE
Vuelta a Extremadura Femenina,,6/3/2025,8/3/2025,3,Spain,ES
Mid South | Gravel,,15/03/2025,15/03/2025,1,United States,US
Danilith Nokere Koerse WE,,19/03/2025,19/03/2025,1,Belgium,BE
Stage Roubaix,,20/03/2025,22/03/2025,3,France,FR
Gand-Wevelgem in Flanders Fields,,30/03/2025,30/03/2025,1,Belgium,BE
Dwars Door Vlaanderen / A Travers la Flandre,,2/4/2025,2/4/2025,1,Belgium,BE
Région Pays de la Loire Tour – Féminin,,9/4/2025,9/4/2025,1,France,FR
Paris-Roubaix Femmes avec Zwift,WORLD TOUR,12/4/2025,12/4/2025,1,France,FR
De Brabantse Pijl - La Flèche Brabançonne,,18/04/2025,18/04/2025,1,Belgium,BE
Amstel Gold Race Ladies Edition,,20/04/2025,20/04/2025,1,Netherlands,NL
La Flèche Wallonne Féminine,WORLD TOUR,23/04/2025,23/04/2025,1,Belgium,BE
Liège-Bastogne-Liège,WORLD TOUR,27/04/2025,27/04/2025,1,Belgium,BE
Pointe du Raz Ladies Classic,,8/5/2025,8/5/2025,1,France,FR
La Classique Morbihan,,9/5/2025,9/5/2025,1,France,FR
Grand Prix du Morbihan Femmes,,10/5/2025,10/5/2025,1,France,FR
Navarra Women’s Elite Classic,,14/05/2025,14/05/2025,1,Spain,ES
Itzulia Women,WORLD TOUR,16/05/2025,18/05/2025,3,Spain,ES
Durango-Durango Emakumeen Saria,,20/05/2025,20/05/2025,1,Spain,ES
Vuelta a Burgos Feminas,WORLD TOUR,22/05/2025,25/05/2025,4,Spain,ES
Unbound Gravel,,31/05/2025,31/05/2025,1,United States,US
Alpes Gresivaudan Classic,,8/6/2025,8/6/2025,1,France,FR
Tour Féminin International des Pyrénées,,13/06/2025,15/06/2025,3,France,FR
Championnats de FR sur Route Féminin,,28/06/2025,28/06/2025,1,France,FR
Volta a Portugal Feminina,,2/7/2025,6/7/2025,5,Portugal,PT
La Périgord Ladies,,19/07/2025,19/07/2025,1,France,FR
La Picto-Charentaise,,20/07/2025,20/07/2025,1,France,FR
Tour de FR Femmes avec Zwift,WORLD TOUR,26/07/2025,3/8/2025,9,France,FR
Egmont Cycling Race Women,,19/08/2025,19/08/2025,1,Belgium,BE
GP Lucien Van Impe,,21/08/2025,21/08/2025,1,Belgium,BE
Kreiz Breizh Elites Féminin,,28/08/2025,28/08/2025,1,France,FR
Classic Lorient Agglomération – Trophée CERATIZIT,WORLD TOUR,30/08/2025,30/08/2025,1,France,FR
Tour Cycliste Féminin International de l'Ardèche,CLASSE 1,9/9/2025,14/09/2025,6,France,FR
Gran Premio Ciudad de Eibar,,5/10/2025,5/10/2025,1,Spain,ES
Vuelta Ciclista Andalucia Elite women (To be defined),,7/10/2025,11/10/2025,3,Spain,ES
Tour of Chongming Island,WORLD TOUR,14/10/2025,16/10/2025,3,China,CN
Tour of Guangxi,WORLD TOUR,19/10/2025,19/10/2025,1,China,CN
